key,en
UI_GOLD_FORMAT,Gold: {0}
UI_WAVE_FORMAT,Wave {0}/{1}
UI_PREPARING_FORMAT,"Preparing {0}s - next wave {1}/{2}"
UI_ENEMIES_FORMAT,"Enemies: {0}"
UI_PAUSE,Pause
UI_RESUME,Resume
UI_UPGRADE,Upgrade
UI_SELL,Sell
UI_MAX_LEVEL,MAX LEVEL
UI_LEVEL,Lv
UI_CANNOT_UPGRADE,Cannot upgrade
UI_SOLD_FORMAT,"Sold (+{0} gold)"
UI_VICTORY,VICTORY
UI_DEFEAT,DEFEAT
UI_BOSS_WARNING,A boss approaches!
ENEMY_GOBLIN,Goblin
ENEMY_WISP,Wisp
ENEMY_KNIGHT,Fallen Knight
ENEMY_OGRE,Ogre Warlord
TOWER_ARCHER,Archer Tower
TOWER_MAGE,Arcane Spire
TOWER_CANNON,Bombard
ABILITY_METEOR,Meteor Strike
ABILITY_FROST,Winter's Grasp
UI_READY,Ready
UI_STARS_FORMAT,Stars earned: {0}
STAGE_TEST_RANGE,The Test Range
STAGE_TWIN_ROADS,Twin Roads
CAMPAIGN_NORTHERN_MARCH,The Northern March
UI_LOCKED,Locked
UI_MENU,Main Menu
UI_BOSS,BOSS
UI_NOT_ENOUGH_GOLD,Not enough gold
UI_ON_PATH_BLOCKED,Cannot build on the enemy path
UI_TOWER_TOO_CLOSE,Too close to another tower
UI_CANNOT_BUILD_HERE,Cannot build here
UI_UNKNOWN_TOWER,Unknown tower
